#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.216483E-01   0.110443E+08   0.110113E+08  -0.356485E+03  -0.570627E+03   0.475919E+07   0.110108E+08   0.110391E+08   0.110108E+08  -0.263038E+00   0.581708E+07   0.581653E+07   0.852348E+01
   0.239038E-01   0.103314E+08   0.102946E+08  -0.296148E+03  -0.437955E+03   0.413758E+07   0.102977E+08   0.103256E+08   0.102977E+08  -0.246001E+00   0.544064E+07   0.544008E+07   0.785520E+01
   0.263943E-01   0.959793E+07   0.955760E+07  -0.233971E+03  -0.333815E+03   0.355709E+07   0.956439E+07   0.959159E+07   0.956439E+07  -0.228483E+00   0.505351E+07   0.505294E+07   0.719411E+01
   0.291443E-01   0.885450E+07   0.881120E+07  -0.148193E+03  -0.252665E+03   0.302340E+07   0.882144E+07   0.884770E+07   0.882144E+07  -0.210735E+00   0.466123E+07   0.466066E+07   0.651923E+01
   0.321808E-01   0.811518E+07   0.806986E+07  -0.159922E+03  -0.189989E+03   0.254177E+07   0.808298E+07   0.810806E+07   0.808298E+07  -0.193094E+00   0.427127E+07   0.427071E+07   0.581486E+01
   0.355337E-01   0.739745E+07   0.735147E+07  -0.950814E+02  -0.142090E+03   0.211601E+07   0.736646E+07   0.739023E+07   0.736646E+07  -0.175977E+00   0.389286E+07   0.389232E+07   0.507241E+01
   0.392359E-01   0.672083E+07   0.667599E+07  -0.697586E+02  -0.105916E+03   0.174806E+07   0.669141E+07   0.671379E+07   0.669141E+07  -0.159851E+00   0.353631E+07   0.353581E+07   0.429435E+01
   0.433238E-01   0.610412E+07   0.606246E+07  -0.773148E+02  -0.789274E+02   0.143738E+07   0.607657E+07   0.609758E+07   0.607657E+07  -0.145163E+00   0.321154E+07   0.321109E+07   0.349789E+01
   0.476562E-01   0.557877E+07   0.554207E+07  -0.584781E+02  -0.596379E+02   0.118908E+07   0.555325E+07   0.557301E+07   0.555325E+07  -0.132661E+00   0.293509E+07   0.293470E+07   0.274646E+01
   0.519886E-01   0.516489E+07   0.513396E+07  -0.455100E+02  -0.464123E+02   0.100174E+07   0.514129E+07   0.516004E+07   0.514129E+07  -0.122820E+00   0.271747E+07   0.271714E+07   0.211101E+01
   0.563210E-01   0.482835E+07   0.480318E+07  -0.362646E+02  -0.369834E+02   0.856190E+06   0.480651E+07   0.482440E+07   0.480651E+07  -0.114823E+00   0.254060E+07   0.254033E+07   0.160297E+01
   0.606533E-01   0.454307E+07   0.452295E+07  -0.294317E+02  -0.300149E+02   0.739685E+06   0.452278E+07   0.453991E+07   0.452278E+07  -0.108044E+00   0.239070E+07   0.239047E+07   0.122340E+01
   0.649857E-01   0.428946E+07   0.427318E+07  -0.242143E+02  -0.246940E+02   0.643712E+06   0.427048E+07   0.428690E+07   0.427048E+07  -0.102017E+00   0.225739E+07   0.225721E+07   0.962656E+00
   0.693181E-01   0.405130E+07   0.403746E+07  -0.201054E+02  -0.205037E+02   0.562328E+06   0.403341E+07   0.404913E+07   0.403341E+07  -0.963540E-01   0.213213E+07   0.213196E+07   0.802139E+00
   0.736505E-01   0.381658E+07   0.380377E+07  -0.167809E+02  -0.171132E+02   0.491535E+06   0.379959E+07   0.381457E+07   0.379959E+07  -0.907682E-01   0.200857E+07   0.200842E+07   0.717725E+00
   0.779829E-01   0.358159E+07   0.356869E+07  -0.140483E+02  -0.143265E+02   0.429251E+06   0.356536E+07   0.357956E+07   0.356536E+07  -0.851727E-01   0.188479E+07   0.188463E+07   0.683824E+00
   0.823153E-01   0.334935E+07   0.333560E+07  -0.117918E+02  -0.120252E+02   0.374560E+06   0.333379E+07   0.334719E+07   0.333379E+07  -0.796407E-01   0.176241E+07   0.176224E+07   0.676566E+00
   0.866476E-01   0.312623E+07   0.311133E+07  -0.993359E+01  -0.101302E+02   0.327037E+06   0.311128E+07   0.312389E+07   0.311128E+07  -0.743252E-01   0.164481E+07   0.164463E+07   0.676192E+00
   0.909800E-01   0.291842E+07   0.290248E+07  -0.841136E+01  -0.857782E+01   0.286259E+06   0.290407E+07   0.291592E+07   0.290407E+07  -0.693751E-01   0.153529E+07   0.153511E+07   0.668528E+00
   0.963688E-01   0.268854E+07   0.267192E+07  -0.690669E+01  -0.704334E+01   0.244154E+06   0.267493E+07   0.268593E+07   0.267493E+07  -0.639012E-01   0.141418E+07   0.141399E+07   0.637261E+00
   0.101758E+00   0.249615E+07   0.247982E+07  -0.575165E+01  -0.586543E+01   0.210536E+06   0.248330E+07   0.249359E+07   0.248330E+07  -0.593233E-01   0.131289E+07   0.131271E+07   0.579489E+00
   0.107146E+00   0.234275E+07   0.232766E+07  -0.486941E+01  -0.496573E+01   0.184061E+06   0.233066E+07   0.234038E+07   0.233066E+07  -0.556770E-01   0.123221E+07   0.123204E+07   0.502150E+00
   0.112535E+00   0.222302E+07   0.220984E+07  -0.418929E+01  -0.427215E+01   0.163127E+06   0.221167E+07   0.222095E+07   0.221167E+07  -0.528345E-01   0.116931E+07   0.116917E+07   0.417432E+00
