#    L    TT             EE             TE             PP             TP          
   197   0.560489E+04   0.682740E+00  -0.230650E+02   0.235671E+07   0.228022E+04
   198   0.562099E+04   0.677643E+00  -0.219794E+02   0.234450E+07   0.226202E+04
   199   0.563658E+04   0.673106E+00  -0.208706E+02   0.233238E+07   0.224396E+04
   200   0.565164E+04   0.669160E+00  -0.197391E+02   0.232036E+07   0.222606E+04
   201   0.566618E+04   0.665838E+00  -0.185848E+02   0.230844E+07   0.220829E+04
   202   0.568019E+04   0.663176E+00  -0.174085E+02   0.229662E+07   0.219067E+04
   203   0.569363E+04   0.661211E+00  -0.162101E+02   0.228489E+07   0.217318E+04
   204   0.570652E+04   0.659979E+00  -0.149901E+02   0.227326E+07   0.215583E+04
   205   0.571883E+04   0.659518E+00  -0.137489E+02   0.226171E+07   0.213862E+04
   206   0.573056E+04   0.659863E+00  -0.124868E+02   0.225027E+07   0.212154E+04
   207   0.574170E+04   0.661054E+00  -0.112040E+02   0.223891E+07   0.210459E+04
   208   0.575223E+04   0.663126E+00  -0.990103E+01   0.222764E+07   0.208778E+04
   209   0.576219E+04   0.666116E+00  -0.857836E+01   0.221647E+07   0.207110E+04
   210   0.577156E+04   0.670061E+00  -0.723645E+01   0.220538E+07   0.205455E+04
   211   0.578035E+04   0.674999E+00  -0.587574E+01   0.219439E+07   0.203813E+04
   212   0.578857E+04   0.680966E+00  -0.449671E+01   0.218348E+07   0.202183E+04
   213   0.579622E+04   0.687999E+00  -0.309983E+01   0.217266E+07   0.200567E+04
   214   0.580331E+04   0.696135E+00  -0.168555E+01   0.216193E+07   0.198962E+04
   215   0.580983E+04   0.705406E+00  -0.254375E+00   0.215128E+07   0.197371E+04
   216   0.581577E+04   0.715855E+00   0.119320E+01   0.214071E+07   0.195791E+04
   217   0.582112E+04   0.727514E+00   0.265664E+01   0.213023E+07   0.194224E+04
   218   0.582590E+04   0.740412E+00   0.413554E+01   0.211984E+07   0.192669E+04
   219   0.583008E+04   0.754595E+00   0.562931E+01   0.210952E+07   0.191126E+04
   220   0.583366E+04   0.770091E+00   0.713751E+01   0.209929E+07   0.189595E+04
   221   0.583665E+04   0.786931E+00   0.865950E+01   0.208914E+07   0.188076E+04
   222   0.583902E+04   0.805160E+00   0.101949E+02   0.207907E+07   0.186568E+04
   223   0.584080E+04   0.824801E+00   0.117431E+02   0.206908E+07   0.185072E+04
   224   0.584197E+04   0.845890E+00   0.133035E+02   0.205917E+07   0.183588E+04
   225   0.584255E+04   0.868450E+00   0.148755E+02   0.204933E+07   0.182114E+04
   226   0.584252E+04   0.892527E+00   0.164586E+02   0.203957E+07   0.180652E+04
   227   0.584189E+04   0.918150E+00   0.180521E+02   0.202989E+07   0.179201E+04
   228   0.584066E+04   0.945341E+00   0.196556E+02   0.202029E+07   0.177761E+04
   229   0.583883E+04   0.974139E+00   0.212684E+02   0.201076E+07   0.176332E+04
   230   0.583640E+04   0.100457E+01   0.228900E+02   0.200130E+07   0.174914E+04
   231   0.583337E+04   0.103666E+01   0.245196E+02   0.199191E+07   0.173506E+04
   232   0.582975E+04   0.107043E+01   0.261568E+02   0.198260E+07   0.172109E+04
   233   0.582552E+04   0.110592E+01   0.278008E+02   0.197336E+07   0.170722E+04
   234   0.582070E+04   0.114315E+01   0.294510E+02   0.196419E+07   0.169346E+04
   235   0.581529E+04   0.118216E+01   0.311070E+02   0.195509E+07   0.167980E+04
   236   0.580928E+04   0.122296E+01   0.327680E+02   0.194606E+07   0.166623E+04
   237   0.580268E+04   0.126558E+01   0.344333E+02   0.193710E+07   0.165277E+04
   238   0.579550E+04   0.131003E+01   0.361023E+02   0.192820E+07   0.163941E+04
   239   0.578773E+04   0.135634E+01   0.377745E+02   0.191937E+07   0.162614E+04
   240   0.577937E+04   0.140453E+01   0.394490E+02   0.191061E+07   0.161297E+04
   241   0.577043E+04   0.145464E+01   0.411254E+02   0.190191E+07   0.159990E+04
   242   0.576091E+04   0.150666E+01   0.428028E+02   0.189328E+07   0.158692E+04
   243   0.575082E+04   0.156063E+01   0.444807E+02   0.188471E+07   0.157403E+04
   244   0.574016E+04   0.161656E+01   0.461585E+02   0.187620E+07   0.156124E+04
   245   0.572893E+04   0.167447E+01   0.478356E+02   0.186776E+07   0.154853E+04
   246   0.571715E+04   0.173436E+01   0.495112E+02   0.185937E+07   0.153592E+04
   247   0.570481E+04   0.179626E+01   0.511849E+02   0.185105E+07   0.152339E+04
   248   0.569192E+04   0.186019E+01   0.528557E+02   0.184279E+07   0.151095E+04
   249   0.567848E+04   0.192615E+01   0.545234E+02   0.183458E+07   0.149860E+04
   250   0.566451E+04   0.199416E+01   0.561871E+02   0.182644E+07   0.148633E+04
   251   0.564999E+04   0.206422E+01   0.578460E+02   0.181835E+07   0.147415E+04
   252   0.563493E+04   0.213636E+01   0.594994E+02   0.181031E+07   0.146205E+04
   253   0.561932E+04   0.221058E+01   0.611465E+02   0.180234E+07   0.145003E+04
   254   0.560319E+04   0.228691E+01   0.627865E+02   0.179442E+07   0.143809E+04
   255   0.558652E+04   0.236536E+01   0.644185E+02   0.178655E+07   0.142624E+04
   256   0.556932E+04   0.244596E+01   0.660419E+02   0.177874E+07   0.141447E+04
   257   0.555159E+04   0.252870E+01   0.676559E+02   0.177099E+07   0.140278E+04
   258   0.553334E+04   0.261361E+01   0.692596E+02   0.176329E+07   0.139116E+04
   259   0.551460E+04   0.270069E+01   0.708533E+02   0.175564E+07   0.137963E+04
   260   0.549537E+04   0.278997E+01   0.724348E+02   0.174805E+07   0.136818E+04
   261   0.547565E+04   0.288144E+01   0.740049E+02   0.174051E+07   0.135680E+04
   262   0.545546E+04   0.297512E+01   0.755620E+02   0.173302E+07   0.134550E+04
   263   0.543482E+04   0.307101E+01   0.771062E+02   0.172558E+07   0.133428E+04
   264   0.541372E+04   0.316914E+01   0.786358E+02   0.171820E+07   0.132314E+04
   265   0.539217E+04   0.326948E+01   0.801517E+02   0.171086E+07   0.131207E+04
   266   0.537017E+04   0.337204E+01   0.816516E+02   0.170358E+07   0.130108E+04
   267   0.534773E+04   0.347682E+01   0.831348E+02   0.169634E+07   0.129016E+04
   268   0.532486E+04   0.358383E+01   0.846019E+02   0.168916E+07   0.127932E+04
   269   0.530154E+04   0.369306E+01   0.860508E+02   0.168202E+07   0.126855E+04
   270   0.527780E+04   0.380451E+01   0.874821E+02   0.167494E+07   0.125785E+04
   271   0.525364E+04   0.391817E+01   0.888937E+02   0.166790E+07   0.124723E+04
   272   0.522906E+04   0.403405E+01   0.902862E+02   0.166091E+07   0.123668E+04
   273   0.520408E+04   0.415212E+01   0.916581E+02   0.165397E+07   0.122620E+04
   274   0.517871E+04   0.427239E+01   0.930102E+02   0.164707E+07   0.121579E+04
   275   0.515295E+04   0.439484E+01   0.943402E+02   0.164022E+07   0.120545E+04
   276   0.512681E+04   0.451947E+01   0.956489E+02   0.163342E+07   0.119518E+04
   277   0.510031E+04   0.464626E+01   0.969348E+02   0.162666E+07   0.118498E+04
   278   0.507345E+04   0.477521E+01   0.981970E+02   0.161995E+07   0.117485E+04
   279   0.504624E+04   0.490628E+01   0.994364E+02   0.161328E+07   0.116479E+04
   280   0.501869E+04   0.503947E+01   0.100651E+03   0.160666E+07   0.115480E+04
   281   0.499080E+04   0.517476E+01   0.101842E+03   0.160008E+07   0.114487E+04
   282   0.496259E+04   0.531213E+01   0.103007E+03   0.159354E+07   0.113501E+04
   283   0.493406E+04   0.545155E+01   0.104147E+03   0.158705E+07   0.112521E+04
   284   0.490523E+04   0.559302E+01   0.105260E+03   0.158060E+07   0.111548E+04
   285   0.487609E+04   0.573651E+01   0.106346E+03   0.157419E+07   0.110582E+04
   286   0.484666E+04   0.588199E+01   0.107406E+03   0.156782E+07   0.109622E+04
   287   0.481696E+04   0.602943E+01   0.108438E+03   0.156150E+07   0.108668E+04
   288   0.478699E+04   0.617882E+01   0.109441E+03   0.155521E+07   0.107721E+04
   289   0.475674E+04   0.633011E+01   0.110416E+03   0.154897E+07   0.106780E+04
   290   0.472625E+04   0.648330E+01   0.111362E+03   0.154276E+07   0.105845E+04
   291   0.469552E+04   0.663836E+01   0.112279E+03   0.153660E+07   0.104917E+04
   292   0.466454E+04   0.679517E+01   0.113166E+03   0.153047E+07   0.103994E+04
   293   0.463333E+04   0.695381E+01   0.114024E+03   0.152438E+07   0.103077E+04
   294   0.460191E+04   0.711424E+01   0.114850E+03   0.151833E+07   0.102167E+04
   295   0.457027E+04   0.727629E+01   0.115645E+03   0.151232E+07   0.101262E+04
   296   0.453843E+04   0.744008E+01   0.116409E+03   0.150634E+07   0.100364E+04
   297   0.450638E+04   0.760544E+01   0.117141E+03   0.150040E+07   0.994706E+03
