#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.193532E+00   0.104768E+07   0.104290E+07  -0.702910E+00  -0.715960E+00   0.000000E+00   0.104693E+07   0.104693E+07   0.104693E+07  -0.247678E-01   0.546508E+06   0.546454E+06   0.923980E-01
   0.199074E+00   0.101453E+07   0.101019E+07  -0.643322E+00  -0.655266E+00   0.000000E+00   0.101385E+07   0.101385E+07   0.101385E+07  -0.239852E-01   0.529240E+06   0.529190E+06   0.830150E-01
   0.204617E+00   0.979206E+06   0.975085E+06  -0.587745E+00  -0.598657E+00   0.000000E+00   0.978554E+06   0.978554E+06   0.978554E+06  -0.231503E-01   0.510816E+06   0.510769E+06   0.775312E-01
   0.210159E+00   0.941892E+06   0.937794E+06  -0.535914E+00  -0.545863E+00   0.000000E+00   0.941244E+06   0.941244E+06   0.941244E+06  -0.222676E-01   0.491340E+06   0.491293E+06   0.750695E-01
   0.215701E+00   0.903629E+06   0.899427E+06  -0.488042E+00  -0.497102E+00   0.000000E+00   0.902964E+06   0.902964E+06   0.902964E+06  -0.213620E-01   0.471358E+06   0.471310E+06   0.743066E-01
   0.221244E+00   0.865911E+06   0.861566E+06  -0.444511E+00  -0.452764E+00   0.000000E+00   0.865223E+06   0.865223E+06   0.865223E+06  -0.204691E-01   0.451658E+06   0.451609E+06   0.738835E-01
   0.226786E+00   0.830430E+06   0.825984E+06  -0.405698E+00  -0.413229E+00   0.000000E+00   0.829727E+06   0.829727E+06   0.829727E+06  -0.196294E-01   0.433128E+06   0.433079E+06   0.727409E-01
   0.232328E+00   0.798520E+06   0.794070E+06  -0.371707E+00  -0.378608E+00   0.000000E+00   0.797817E+06   0.797817E+06   0.797817E+06  -0.188744E-01   0.416471E+06   0.416422E+06   0.703030E-01
   0.237870E+00   0.770703E+06   0.766365E+06  -0.342232E+00  -0.348586E+00   0.000000E+00   0.770017E+06   0.770017E+06   0.770017E+06  -0.182168E-01   0.401959E+06   0.401912E+06   0.665056E-01
   0.243413E+00   0.746754E+06   0.742630E+06  -0.316673E+00  -0.322552E+00   0.000000E+00   0.746101E+06   0.746101E+06   0.746101E+06  -0.176510E-01   0.389475E+06   0.389430E+06   0.617023E-01
   0.248955E+00   0.725950E+06   0.722104E+06  -0.294305E+00  -0.299769E+00   0.000000E+00   0.725342E+06   0.725342E+06   0.725342E+06  -0.171599E-01   0.378638E+06   0.378596E+06   0.564881E-01
   0.254497E+00   0.707185E+06   0.703630E+06  -0.274356E+00  -0.279450E+00   0.000000E+00   0.706623E+06   0.706623E+06   0.706623E+06  -0.167170E-01   0.368866E+06   0.368827E+06   0.514943E-01
   0.260040E+00   0.689197E+06   0.685900E+06  -0.256110E+00  -0.260865E+00   0.000000E+00   0.688676E+06   0.688676E+06   0.688676E+06  -0.162924E-01   0.359497E+06   0.359460E+06   0.472202E-01
   0.265582E+00   0.671024E+06   0.667920E+06  -0.239063E+00  -0.243502E+00   0.000000E+00   0.670533E+06   0.670533E+06   0.670533E+06  -0.158632E-01   0.350026E+06   0.349991E+06   0.439370E-01
