#    L    TT             EE             BB             TE             PP             TP             EP          
   145   0.421492E+04   0.111181E+01   0.000000E+00  -0.456855E+02   0.774099E-07   0.230439E-03  -0.118186E-05
   146   0.424863E+04   0.110907E+01   0.000000E+00  -0.458367E+02   0.769576E-07   0.228395E-03  -0.117110E-05
   147   0.428220E+04   0.110586E+01   0.000000E+00  -0.459654E+02   0.765089E-07   0.226377E-03  -0.115960E-05
   148   0.431561E+04   0.110218E+01   0.000000E+00  -0.460714E+02   0.760638E-07   0.224383E-03  -0.114747E-05
   149   0.434885E+04   0.109804E+01   0.000000E+00  -0.461542E+02   0.756223E-07   0.222412E-03  -0.113479E-05
   150   0.438190E+04   0.109345E+01   0.000000E+00  -0.462134E+02   0.751844E-07   0.220462E-03  -0.112167E-05
   151   0.441474E+04   0.108842E+01   0.000000E+00  -0.462487E+02   0.747501E-07   0.218532E-03  -0.110819E-05
   152   0.444738E+04   0.108294E+01   0.000000E+00  -0.462598E+02   0.743192E-07   0.216622E-03  -0.109438E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462464E+02   0.738919E-07   0.214732E-03  -0.108028E-05
   154   0.451201E+04   0.107075E+01   0.000000E+00  -0.462083E+02   0.734680E-07   0.212860E-03  -0.106590E-05
   155   0.454399E+04   0.106404E+01   0.000000E+00  -0.461452E+02   0.730476E-07   0.211009E-03  -0.105126E-05
   156   0.457575E+04   0.105694E+01   0.000000E+00  -0.460569E+02   0.726307E-07   0.209176E-03  -0.103638E-05
   157   0.460727E+04   0.104946E+01   0.000000E+00  -0.459430E+02   0.722171E-07   0.207363E-03  -0.102130E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458035E+02   0.718069E-07   0.205568E-03  -0.100602E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456380E+02   0.714001E-07   0.203793E-03  -0.990574E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454464E+02   0.709966E-07   0.202036E-03  -0.974983E-06
   161   0.473087E+04   0.101606E+01   0.000000E+00  -0.452284E+02   0.705964E-07   0.200298E-03  -0.959268E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449839E+02   0.701996E-07   0.198579E-03  -0.943451E-06
   163   0.479100E+04   0.997491E+00   0.000000E+00  -0.447126E+02   0.698060E-07   0.196878E-03  -0.927554E-06
   164   0.482060E+04   0.987793E+00   0.000000E+00  -0.444143E+02   0.694156E-07   0.195195E-03  -0.911600E-06
   165   0.484987E+04   0.977843E+00   0.000000E+00  -0.440889E+02   0.690285E-07   0.193531E-03  -0.895610E-06
