#    L    TT             EE             TE             PP             TP          
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.206309E+07   0.159390E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.205425E+07   0.158073E+04
   256   0.535620E+04   0.287138E+01   0.731533E+02   0.204548E+07   0.156766E+04
   257   0.533520E+04   0.296691E+01   0.747120E+02   0.203676E+07   0.155469E+04
   258   0.531369E+04   0.306471E+01   0.762554E+02   0.202810E+07   0.154180E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.201949E+07   0.152901E+04
   260   0.526924E+04   0.326714E+01   0.792955E+02   0.201095E+07   0.151632E+04
   261   0.524631E+04   0.337177E+01   0.807906E+02   0.200246E+07   0.150371E+04
   262   0.522293E+04   0.347867E+01   0.822679E+02   0.199403E+07   0.149120E+04
   263   0.519912E+04   0.358784E+01   0.837274E+02   0.198565E+07   0.147877E+04
   264   0.517487E+04   0.369928E+01   0.851676E+02   0.197733E+07   0.146643E+04
   265   0.515019E+04   0.381297E+01   0.865892E+02   0.196907E+07   0.145419E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.196086E+07   0.144203E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.195270E+07   0.142995E+04
   268   0.507366E+04   0.416744E+01   0.907279E+02   0.194460E+07   0.141797E+04
   269   0.504733E+04   0.429004E+01   0.920634E+02   0.193655E+07   0.140606E+04
   270   0.502060E+04   0.441482E+01   0.933766E+02   0.192856E+07   0.139425E+04
   271   0.499349E+04   0.454180E+01   0.946653E+02   0.192062E+07   0.138251E+04
   272   0.496599E+04   0.467094E+01   0.959303E+02   0.191272E+07   0.137086E+04
   273   0.493814E+04   0.480221E+01   0.971700E+02   0.190489E+07   0.135929E+04
   274   0.490992E+04   0.493561E+01   0.983853E+02   0.189710E+07   0.134780E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.188936E+07   0.133639E+04
   276   0.485246E+04   0.520871E+01   0.100736E+03   0.188167E+07   0.132506E+04
   277   0.482324E+04   0.534837E+01   0.101871E+03   0.187403E+07   0.131381E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.186644E+07   0.130264E+04
   279   0.476385E+04   0.563378E+01   0.104058E+03   0.185890E+07   0.129155E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.185141E+07   0.128053E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.184396E+07   0.126959E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.183656E+07   0.125872E+04
   283   0.464163E+04   0.622814E+01   0.108082E+03   0.182921E+07   0.124792E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.182191E+07   0.123720E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.181465E+07   0.122655E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.180743E+07   0.121598E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.180026E+07   0.120547E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.179314E+07   0.119503E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.178606E+07   0.118467E+04
   290   0.441831E+04   0.733850E+01   0.113925E+03   0.177902E+07   0.117437E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.177203E+07   0.116414E+04
   292   0.435272E+04   0.767071E+01   0.115297E+03   0.176508E+07   0.115397E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.175817E+07   0.114387E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.175130E+07   0.113384E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.174447E+07   0.112387E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.173768E+07   0.111396E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.173094E+07   0.110412E+04
   298   0.415233E+04   0.870194E+01   0.118570E+03   0.172423E+07   0.109434E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.171756E+07   0.108462E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.171093E+07   0.107496E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.170434E+07   0.106536E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.169779E+07   0.105582E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.169128E+07   0.104634E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.168480E+07   0.103692E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.167836E+07   0.102756E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.167196E+07   0.101827E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.166559E+07   0.100903E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.165926E+07   0.999850E+03
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.165297E+07   0.990734E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.164671E+07   0.981679E+03
   311   0.370867E+04   0.110697E+02   0.121095E+03   0.164049E+07   0.972686E+03
   312   0.367451E+04   0.112569E+02   0.121024E+03   0.163430E+07   0.963754E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.162815E+07   0.954884E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.162203E+07   0.946076E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.161595E+07   0.937330E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.160990E+07   0.928646E+03
   317   0.350467E+04   0.121973E+02   0.120089E+03   0.160389E+07   0.920025E+03
   318   0.347096E+04   0.123858E+02   0.119786E+03   0.159790E+07   0.911467E+03
   319   0.343735E+04   0.125744E+02   0.119446E+03   0.159196E+07   0.902971E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.158604E+07   0.894539E+03
