#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   115   0.318043E+04  -0.314642E+02   0.281965E-03  -0.314642E+02   0.905404E+00  -0.104291E-05   0.281965E-03  -0.104291E-05   0.827420E-07
   116   0.321405E+04  -0.320677E+02   0.278817E-03  -0.320677E+02   0.916452E+00  -0.105558E-05   0.278817E-03  -0.105558E-05   0.822041E-07
   117   0.324779E+04  -0.326647E+02   0.275724E-03  -0.326647E+02   0.927193E+00  -0.106727E-05   0.275724E-03  -0.106727E-05   0.816703E-07
   118   0.328163E+04  -0.332547E+02   0.272685E-03  -0.332547E+02   0.937624E+00  -0.107797E-05   0.272685E-03  -0.107797E-05   0.811405E-07
   119   0.331557E+04  -0.338373E+02   0.269699E-03  -0.338373E+02   0.947733E+00  -0.108767E-05   0.269699E-03  -0.108767E-05   0.806149E-07
   120   0.334960E+04  -0.344118E+02   0.266766E-03  -0.344118E+02   0.957510E+00  -0.109635E-05   0.266766E-03  -0.109635E-05   0.800934E-07
   121   0.338372E+04  -0.349778E+02   0.263885E-03  -0.349778E+02   0.966942E+00  -0.110402E-05   0.263885E-03  -0.110402E-05   0.795760E-07
   122   0.341791E+04  -0.355348E+02   0.261057E-03  -0.355348E+02   0.976021E+00  -0.111065E-05   0.261057E-03  -0.111065E-05   0.790627E-07
   123   0.345216E+04  -0.360822E+02   0.258281E-03  -0.360822E+02   0.984740E+00  -0.111623E-05   0.258281E-03  -0.111623E-05   0.785534E-07
   124   0.348648E+04  -0.366194E+02   0.255555E-03  -0.366194E+02   0.993083E+00  -0.112076E-05   0.255555E-03  -0.112076E-05   0.780482E-07
   125   0.352085E+04  -0.371461E+02   0.252881E-03  -0.371461E+02   0.100105E+01  -0.112422E-05   0.252881E-03  -0.112422E-05   0.775471E-07
   126   0.355526E+04  -0.376618E+02   0.250256E-03  -0.376618E+02   0.100863E+01  -0.112660E-05   0.250256E-03  -0.112660E-05   0.770500E-07
   127   0.358970E+04  -0.381658E+02   0.247682E-03  -0.381658E+02   0.101582E+01  -0.112790E-05   0.247682E-03  -0.112790E-05   0.765570E-07
   128   0.362417E+04  -0.386577E+02   0.245157E-03  -0.386577E+02   0.102260E+01  -0.112809E-05   0.245157E-03  -0.112809E-05   0.760680E-07
   129   0.365866E+04  -0.391371E+02   0.242681E-03  -0.391371E+02   0.102898E+01  -0.112717E-05   0.242681E-03  -0.112717E-05   0.755830E-07
   130   0.369315E+04  -0.396034E+02   0.240254E-03  -0.396034E+02   0.103494E+01  -0.112513E-05   0.240254E-03  -0.112513E-05   0.751021E-07
   131   0.372764E+04  -0.400562E+02   0.237874E-03  -0.400562E+02   0.104048E+01  -0.112197E-05   0.237874E-03  -0.112197E-05   0.746252E-07
   132   0.376212E+04  -0.404949E+02   0.235541E-03  -0.404949E+02   0.104559E+01  -0.111775E-05   0.235541E-03  -0.111775E-05   0.741522E-07
   133   0.379659E+04  -0.409191E+02   0.233253E-03  -0.409191E+02   0.105027E+01  -0.111254E-05   0.233253E-03  -0.111254E-05   0.736833E-07
   134   0.383104E+04  -0.413284E+02   0.231008E-03  -0.413284E+02   0.105453E+01  -0.110642E-05   0.231008E-03  -0.110642E-05   0.732182E-07
   135   0.386547E+04  -0.417224E+02   0.228805E-03  -0.417224E+02   0.105833E+01  -0.109947E-05   0.228805E-03  -0.109947E-05   0.727571E-07
   136   0.389986E+04  -0.421004E+02   0.226642E-03  -0.421004E+02   0.106170E+01  -0.109175E-05   0.226642E-03  -0.109175E-05   0.722998E-07
   137   0.393422E+04  -0.424621E+02   0.224517E-03  -0.424621E+02   0.106461E+01  -0.108335E-05   0.224517E-03  -0.108335E-05   0.718464E-07
   138   0.396854E+04  -0.428071E+02   0.222429E-03  -0.428071E+02   0.106707E+01  -0.107433E-05   0.222429E-03  -0.107433E-05   0.713968E-07
   139   0.400279E+04  -0.431351E+02   0.220377E-03  -0.431351E+02   0.106908E+01  -0.106477E-05   0.220377E-03  -0.106477E-05   0.709509E-07
   140   0.403700E+04  -0.434455E+02   0.218358E-03  -0.434455E+02   0.107063E+01  -0.105475E-05   0.218358E-03  -0.105475E-05   0.705089E-07
   141   0.407115E+04  -0.437380E+02   0.216371E-03  -0.437380E+02   0.107174E+01  -0.104433E-05   0.216371E-03  -0.104433E-05   0.700705E-07
   142   0.410522E+04  -0.440122E+02   0.214414E-03  -0.440122E+02   0.107239E+01  -0.103360E-05   0.214414E-03  -0.103360E-05   0.696359E-07
   143   0.413922E+04  -0.442678E+02   0.212486E-03  -0.442678E+02   0.107258E+01  -0.102263E-05   0.212486E-03  -0.102263E-05   0.692049E-07
   144   0.417313E+04  -0.445044E+02   0.210585E-03  -0.445044E+02   0.107233E+01  -0.101149E-05   0.210585E-03  -0.101149E-05   0.687776E-07
   145   0.420696E+04  -0.447214E+02   0.208710E-03  -0.447214E+02   0.107161E+01  -0.100026E-05   0.208710E-03  -0.100026E-05   0.683539E-07
   146   0.424067E+04  -0.449187E+02   0.206859E-03  -0.449187E+02   0.107045E+01  -0.989004E-06   0.206859E-03  -0.989004E-06   0.679337E-07
   147   0.427426E+04  -0.450957E+02   0.205030E-03  -0.450957E+02   0.106885E+01  -0.977807E-06   0.205030E-03  -0.977807E-06   0.675171E-07
   148   0.430772E+04  -0.452522E+02   0.203222E-03  -0.452522E+02   0.106681E+01  -0.966739E-06   0.203222E-03  -0.966739E-06   0.671041E-07
   149   0.434104E+04  -0.453876E+02   0.201433E-03  -0.453876E+02   0.106434E+01  -0.955876E-06   0.201433E-03  -0.955876E-06   0.666945E-07
   150   0.437420E+04  -0.455017E+02   0.199662E-03  -0.455017E+02   0.106143E+01  -0.945290E-06   0.199662E-03  -0.945290E-06   0.662884E-07
   151   0.440718E+04  -0.455942E+02   0.197906E-03  -0.455942E+02   0.105811E+01  -0.935041E-06   0.197906E-03  -0.935041E-06   0.658858E-07
   152   0.443999E+04  -0.456646E+02   0.196167E-03  -0.456646E+02   0.105436E+01  -0.925120E-06   0.196167E-03  -0.925120E-06   0.654866E-07
   153   0.447262E+04  -0.457127E+02   0.194443E-03  -0.457127E+02   0.105020E+01  -0.915505E-06   0.194443E-03  -0.915505E-06   0.650907E-07
   154   0.450506E+04  -0.457383E+02   0.192736E-03  -0.457383E+02   0.104565E+01  -0.906172E-06   0.192736E-03  -0.906172E-06   0.646982E-07
   155   0.453731E+04  -0.457410E+02   0.191044E-03  -0.457410E+02   0.104069E+01  -0.897098E-06   0.191044E-03  -0.897098E-06   0.643091E-07
   156   0.456938E+04  -0.457205E+02   0.189368E-03  -0.457205E+02   0.103535E+01  -0.888258E-06   0.189368E-03  -0.888258E-06   0.639233E-07
   157   0.460123E+04  -0.456766E+02   0.187709E-03  -0.456766E+02   0.102963E+01  -0.879630E-06   0.187709E-03  -0.879630E-06   0.635408E-07
   158   0.463289E+04  -0.456091E+02   0.186065E-03  -0.456091E+02   0.102355E+01  -0.871190E-06   0.186065E-03  -0.871190E-06   0.631615E-07
   159   0.466433E+04  -0.455175E+02   0.184437E-03  -0.455175E+02   0.101710E+01  -0.862914E-06   0.184437E-03  -0.862914E-06   0.627855E-07
   160   0.469555E+04  -0.454018E+02   0.182826E-03  -0.454018E+02   0.101031E+01  -0.854779E-06   0.182826E-03  -0.854779E-06   0.624127E-07
   161   0.472653E+04  -0.452616E+02   0.181230E-03  -0.452616E+02   0.100319E+01  -0.846762E-06   0.181230E-03  -0.846762E-06   0.620432E-07
   162   0.475725E+04  -0.450968E+02   0.179650E-03  -0.450968E+02   0.995747E+00  -0.838838E-06   0.179650E-03  -0.838838E-06   0.616768E-07
   163   0.478772E+04  -0.449069E+02   0.178087E-03  -0.449069E+02   0.988007E+00  -0.830985E-06   0.178087E-03  -0.830985E-06   0.613135E-07
   164   0.481790E+04  -0.446921E+02   0.176539E-03  -0.446921E+02   0.979968E+00  -0.823178E-06   0.176539E-03  -0.823178E-06   0.609534E-07
   165   0.484779E+04  -0.444518E+02   0.175008E-03  -0.444518E+02   0.971648E+00  -0.815395E-06   0.175008E-03  -0.815395E-06   0.605964E-07
   166   0.487739E+04  -0.441861E+02   0.173492E-03  -0.441861E+02   0.963067E+00  -0.807611E-06   0.173492E-03  -0.807611E-06   0.602425E-07
   167   0.490669E+04  -0.438946E+02   0.171993E-03  -0.438946E+02   0.954243E+00  -0.799804E-06   0.171993E-03  -0.799804E-06   0.598916E-07
   168   0.493567E+04  -0.435775E+02   0.170510E-03  -0.435775E+02   0.945194E+00  -0.791950E-06   0.170510E-03  -0.791950E-06   0.595438E-07
   169   0.496434E+04  -0.432346E+02   0.169043E-03  -0.432346E+02   0.935940E+00  -0.784025E-06   0.169043E-03  -0.784025E-06   0.591989E-07
   170   0.499267E+04  -0.428657E+02   0.167592E-03  -0.428657E+02   0.926492E+00  -0.776005E-06   0.167592E-03  -0.776005E-06   0.588571E-07
   171   0.502066E+04  -0.424708E+02   0.166157E-03  -0.424708E+02   0.916876E+00  -0.767868E-06   0.166157E-03  -0.767868E-06   0.585182E-07
   172   0.504832E+04  -0.420498E+02   0.164739E-03  -0.420498E+02   0.907110E+00  -0.759590E-06   0.164739E-03  -0.759590E-06   0.581823E-07
   173   0.507562E+04  -0.416025E+02   0.163336E-03  -0.416025E+02   0.897214E+00  -0.751147E-06   0.163336E-03  -0.751147E-06   0.578493E-07
   174   0.510256E+04  -0.411290E+02   0.161950E-03  -0.411290E+02   0.887206E+00  -0.742515E-06   0.161950E-03  -0.742515E-06   0.575191E-07
   175   0.512912E+04  -0.406294E+02   0.160580E-03  -0.406294E+02   0.877120E+00  -0.733672E-06   0.160580E-03  -0.733672E-06   0.571919E-07
   176   0.515531E+04  -0.401035E+02   0.159226E-03  -0.401035E+02   0.866966E+00  -0.724598E-06   0.159226E-03  -0.724598E-06   0.568674E-07
   177   0.518112E+04  -0.395513E+02   0.157888E-03  -0.395513E+02   0.856777E+00  -0.715296E-06   0.157888E-03  -0.715296E-06   0.565458E-07
