#    L    TT             EE             BB             TE             PP             TP             EP          
   139   0.400279E+04   0.106908E+01   0.000000E+00  -0.431351E+02   0.709510E-07   0.220378E-03  -0.106475E-05
   140   0.403700E+04   0.107063E+01   0.000000E+00  -0.434455E+02   0.705089E-07   0.218359E-03  -0.105472E-05
   141   0.407115E+04   0.107174E+01   0.000000E+00  -0.437380E+02   0.700706E-07   0.216371E-03  -0.104431E-05
   142   0.410522E+04   0.107239E+01   0.000000E+00  -0.440122E+02   0.696359E-07   0.214415E-03  -0.103358E-05
   143   0.413922E+04   0.107258E+01   0.000000E+00  -0.442678E+02   0.692050E-07   0.212487E-03  -0.102261E-05
   144   0.417313E+04   0.107233E+01   0.000000E+00  -0.445044E+02   0.687776E-07   0.210586E-03  -0.101147E-05
   145   0.420696E+04   0.107161E+01   0.000000E+00  -0.447214E+02   0.683539E-07   0.208711E-03  -0.100024E-05
   146   0.424067E+04   0.107045E+01   0.000000E+00  -0.449187E+02   0.679338E-07   0.206859E-03  -0.988989E-06
   147   0.427426E+04   0.106885E+01   0.000000E+00  -0.450957E+02   0.675172E-07   0.205030E-03  -0.977795E-06
   148   0.430772E+04   0.106681E+01   0.000000E+00  -0.452522E+02   0.671041E-07   0.203222E-03  -0.966732E-06
   149   0.434104E+04   0.106434E+01   0.000000E+00  -0.453876E+02   0.666945E-07   0.201433E-03  -0.955872E-06
   150   0.437420E+04   0.106143E+01   0.000000E+00  -0.455017E+02   0.662884E-07   0.199662E-03  -0.945290E-06
   151   0.440718E+04   0.105811E+01   0.000000E+00  -0.455942E+02   0.658858E-07   0.197906E-03  -0.935045E-06
   152   0.443999E+04   0.105436E+01   0.000000E+00  -0.456646E+02   0.654866E-07   0.196167E-03  -0.925128E-06
   153   0.447262E+04   0.105020E+01   0.000000E+00  -0.457127E+02   0.650907E-07   0.194443E-03  -0.915517E-06
   154   0.450506E+04   0.104565E+01   0.000000E+00  -0.457383E+02   0.646983E-07   0.192736E-03  -0.906187E-06
   155   0.453731E+04   0.104069E+01   0.000000E+00  -0.457410E+02   0.643091E-07   0.191044E-03  -0.897115E-06
   156   0.456938E+04   0.103535E+01   0.000000E+00  -0.457205E+02   0.639233E-07   0.189368E-03  -0.888278E-06
   157   0.460123E+04   0.102963E+01   0.000000E+00  -0.456766E+02   0.635408E-07   0.187709E-03  -0.879652E-06
   158   0.463289E+04   0.102355E+01   0.000000E+00  -0.456091E+02   0.631616E-07   0.186065E-03  -0.871214E-06
   159   0.466433E+04   0.101710E+01   0.000000E+00  -0.455175E+02   0.627856E-07   0.184437E-03  -0.862939E-06
   160   0.469555E+04   0.101031E+01   0.000000E+00  -0.454018E+02   0.624128E-07   0.182826E-03  -0.854805E-06
   161   0.472653E+04   0.100319E+01   0.000000E+00  -0.452616E+02   0.620433E-07   0.181230E-03  -0.846788E-06
   162   0.475725E+04   0.995747E+00   0.000000E+00  -0.450968E+02   0.616769E-07   0.179650E-03  -0.838864E-06
   163   0.478772E+04   0.988007E+00   0.000000E+00  -0.449069E+02   0.613136E-07   0.178087E-03  -0.831010E-06
   164   0.481790E+04   0.979968E+00   0.000000E+00  -0.446921E+02   0.609535E-07   0.176539E-03  -0.823203E-06
   165   0.484779E+04   0.971648E+00   0.000000E+00  -0.444518E+02   0.605965E-07   0.175008E-03  -0.815419E-06
   166   0.487739E+04   0.963067E+00   0.000000E+00  -0.441861E+02   0.602426E-07   0.173492E-03  -0.807634E-06
   167   0.490669E+04   0.954243E+00   0.000000E+00  -0.438946E+02   0.598917E-07   0.171993E-03  -0.799825E-06
   168   0.493567E+04   0.945194E+00   0.000000E+00  -0.435775E+02   0.595438E-07   0.170510E-03  -0.791968E-06
   169   0.496434E+04   0.935940E+00   0.000000E+00  -0.432346E+02   0.591990E-07   0.169043E-03  -0.784041E-06
   170   0.499267E+04   0.926492E+00   0.000000E+00  -0.428657E+02   0.588572E-07   0.167592E-03  -0.776019E-06
   171   0.502066E+04   0.916876E+00   0.000000E+00  -0.424708E+02   0.585183E-07   0.166157E-03  -0.767879E-06
   172   0.504832E+04   0.907110E+00   0.000000E+00  -0.420498E+02   0.581823E-07   0.164738E-03  -0.759598E-06
   173   0.507562E+04   0.897214E+00   0.000000E+00  -0.416025E+02   0.578493E-07   0.163336E-03  -0.751152E-06
