#    L    TT             EE             TE             PP             TP          
   206   0.567117E+04   0.675287E+00  -0.770831E+01   0.257499E+07   0.235444E+04
   207   0.567986E+04   0.679960E+00  -0.631622E+01   0.256240E+07   0.233571E+04
   208   0.568790E+04   0.685711E+00  -0.490508E+01   0.254991E+07   0.231711E+04
   209   0.569533E+04   0.692577E+00  -0.347540E+01   0.253752E+07   0.229865E+04
   210   0.570212E+04   0.700594E+00  -0.202776E+01   0.252523E+07   0.228032E+04
   211   0.570830E+04   0.709801E+00  -0.562695E+00   0.251303E+07   0.226212E+04
   212   0.571387E+04   0.720233E+00   0.919229E+00   0.250092E+07   0.224406E+04
   213   0.571883E+04   0.731926E+00   0.241746E+01   0.248891E+07   0.222613E+04
   214   0.572319E+04   0.744919E+00   0.393144E+01   0.247698E+07   0.220833E+04
   215   0.572695E+04   0.759241E+00   0.546059E+01   0.246515E+07   0.219066E+04
   216   0.573010E+04   0.774936E+00   0.700430E+01   0.245341E+07   0.217312E+04
   217   0.573263E+04   0.792036E+00   0.856197E+01   0.244176E+07   0.215571E+04
   218   0.573454E+04   0.810570E+00   0.101331E+02   0.243020E+07   0.213842E+04
   219   0.573584E+04   0.830582E+00   0.117170E+02   0.241873E+07   0.212126E+04
   220   0.573650E+04   0.852102E+00   0.133131E+02   0.240734E+07   0.210423E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.239604E+07   0.208732E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.238483E+07   0.207054E+04
   223   0.573472E+04   0.926043E+00   0.181683E+02   0.237370E+07   0.205387E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.236265E+07   0.203734E+04
   225   0.573040E+04   0.983479E+00   0.214545E+02   0.235169E+07   0.202092E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.234081E+07   0.200462E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.233001E+07   0.198844E+04
   228   0.571922E+04   0.108249E+01   0.264446E+02   0.231929E+07   0.197239E+04
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.230865E+07   0.195645E+04
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.229809E+07   0.194062E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.228761E+07   0.192492E+04
   232   0.569565E+04   0.123976E+01   0.331830E+02   0.227720E+07   0.190933E+04
   233   0.568823E+04   0.128377E+01   0.348781E+02   0.226688E+07   0.189385E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.225662E+07   0.187849E+04
   235   0.567153E+04   0.137762E+01   0.382760E+02   0.224645E+07   0.186324E+04
   236   0.566227E+04   0.142751E+01   0.399773E+02   0.223635E+07   0.184810E+04
   237   0.565241E+04   0.147941E+01   0.416792E+02   0.222632E+07   0.183307E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.221636E+07   0.181816E+04
   239   0.563090E+04   0.158929E+01   0.450821E+02   0.220647E+07   0.180335E+04
   240   0.561926E+04   0.164734E+01   0.467814E+02   0.219666E+07   0.178866E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.218691E+07   0.177407E+04
   242   0.559419E+04   0.176973E+01   0.501725E+02   0.217724E+07   0.175959E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.216763E+07   0.174521E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.215809E+07   0.173094E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.214862E+07   0.171678E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.213921E+07   0.170272E+04
   247   0.552149E+04   0.211326E+01   0.585707E+02   0.212987E+07   0.168876E+04
   248   0.550528E+04   0.218854E+01   0.602309E+02   0.212059E+07   0.167490E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.211138E+07   0.166115E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.210223E+07   0.164749E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.209314E+07   0.163394E+04
   252   0.543500E+04   0.251194E+01   0.667826E+02   0.208411E+07   0.162048E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.207514E+07   0.160712E+04
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.206623E+07   0.159386E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.205739E+07   0.158070E+04
   256   0.535620E+04   0.287138E+01   0.731533E+02   0.204860E+07   0.156763E+04
   257   0.533520E+04   0.296691E+01   0.747120E+02   0.203987E+07   0.155465E+04
   258   0.531369E+04   0.306471E+01   0.762554E+02   0.203120E+07   0.154177E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.202259E+07   0.152898E+04
   260   0.526924E+04   0.326714E+01   0.792955E+02   0.201403E+07   0.151629E+04
   261   0.524631E+04   0.337177E+01   0.807906E+02   0.200553E+07   0.150368E+04
   262   0.522293E+04   0.347867E+01   0.822679E+02   0.199709E+07   0.149117E+04
   263   0.519912E+04   0.358784E+01   0.837274E+02   0.198871E+07   0.147875E+04
   264   0.517487E+04   0.369928E+01   0.851676E+02   0.198038E+07   0.146642E+04
   265   0.515019E+04   0.381297E+01   0.865892E+02   0.197211E+07   0.145417E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.196389E+07   0.144201E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.195572E+07   0.142994E+04
   268   0.507366E+04   0.416744E+01   0.907279E+02   0.194761E+07   0.141796E+04
   269   0.504733E+04   0.429004E+01   0.920634E+02   0.193955E+07   0.140606E+04
   270   0.502060E+04   0.441482E+01   0.933766E+02   0.193155E+07   0.139424E+04
   271   0.499349E+04   0.454180E+01   0.946653E+02   0.192360E+07   0.138251E+04
   272   0.496599E+04   0.467094E+01   0.959303E+02   0.191569E+07   0.137086E+04
   273   0.493814E+04   0.480221E+01   0.971700E+02   0.190785E+07   0.135929E+04
   274   0.490992E+04   0.493561E+01   0.983853E+02   0.190005E+07   0.134781E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.189230E+07   0.133640E+04
   276   0.485246E+04   0.520871E+01   0.100736E+03   0.188460E+07   0.132507E+04
   277   0.482324E+04   0.534837E+01   0.101871E+03   0.187695E+07   0.131383E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.186936E+07   0.130266E+04
   279   0.476385E+04   0.563378E+01   0.104058E+03   0.186181E+07   0.129156E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.185430E+07   0.128055E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.184685E+07   0.126961E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.183944E+07   0.125874E+04
   283   0.464163E+04   0.622814E+01   0.108082E+03   0.183208E+07   0.124795E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.182477E+07   0.123723E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.181750E+07   0.122658E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.181028E+07   0.121601E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.180310E+07   0.120551E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.179597E+07   0.119507E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.178888E+07   0.118471E+04
   290   0.441831E+04   0.733850E+01   0.113925E+03   0.178183E+07   0.117441E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.177483E+07   0.116418E+04
   292   0.435272E+04   0.767071E+01   0.115297E+03   0.176787E+07   0.115402E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.176095E+07   0.114392E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.175407E+07   0.113389E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.174724E+07   0.112392E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.174044E+07   0.111402E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.173369E+07   0.110418E+04
   298   0.415233E+04   0.870194E+01   0.118570E+03   0.172698E+07   0.109440E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.172030E+07   0.108468E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.171366E+07   0.107503E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.170706E+07   0.106543E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.170050E+07   0.105589E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.169398E+07   0.104641E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.168750E+07   0.103699E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.168105E+07   0.102764E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.167464E+07   0.101834E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.166826E+07   0.100910E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.166193E+07   0.999926E+03
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.165562E+07   0.990811E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.164936E+07   0.981758E+03
   311   0.370867E+04   0.110697E+02   0.121095E+03   0.164313E+07   0.972766E+03
   312   0.367451E+04   0.112569E+02   0.121024E+03   0.163693E+07   0.963835E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.163077E+07   0.954966E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.162465E+07   0.946159E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.161856E+07   0.937414E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.161250E+07   0.928732E+03
   317   0.350467E+04   0.121973E+02   0.120089E+03   0.160648E+07   0.920112E+03
   318   0.347096E+04   0.123858E+02   0.119786E+03   0.160050E+07   0.911555E+03
   319   0.343735E+04   0.125744E+02   0.119446E+03   0.159454E+07   0.903060E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.158862E+07   0.894629E+03
