#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   126   0.356049E+04  -0.391123E+02   0.276042E-03  -0.391123E+02   0.107112E+01  -0.111925E-05   0.276042E-03  -0.111925E-05   0.866609E-07
   127   0.359512E+04  -0.396081E+02   0.273238E-03  -0.396081E+02   0.107760E+01  -0.113859E-05   0.273238E-03  -0.113859E-05   0.861377E-07
   128   0.362977E+04  -0.400900E+02   0.270483E-03  -0.400900E+02   0.108362E+01  -0.115665E-05   0.270483E-03  -0.115665E-05   0.856185E-07
   129   0.366444E+04  -0.405575E+02   0.267778E-03  -0.405575E+02   0.108918E+01  -0.117307E-05   0.267778E-03  -0.117307E-05   0.851035E-07
   130   0.369913E+04  -0.410101E+02   0.265122E-03  -0.410101E+02   0.109425E+01  -0.118751E-05   0.265122E-03  -0.118751E-05   0.845925E-07
   131   0.373380E+04  -0.414472E+02   0.262515E-03  -0.414472E+02   0.109885E+01  -0.119970E-05   0.262515E-03  -0.119970E-05   0.840856E-07
   132   0.376848E+04  -0.418684E+02   0.259957E-03  -0.418684E+02   0.110298E+01  -0.120967E-05   0.259957E-03  -0.120967E-05   0.835827E-07
   133   0.380313E+04  -0.422733E+02   0.257446E-03  -0.422733E+02   0.110661E+01  -0.121752E-05   0.257446E-03  -0.121752E-05   0.830839E-07
   134   0.383776E+04  -0.426611E+02   0.254980E-03  -0.426611E+02   0.110976E+01  -0.122333E-05   0.254980E-03  -0.122333E-05   0.825890E-07
   135   0.387236E+04  -0.430317E+02   0.252557E-03  -0.430317E+02   0.111241E+01  -0.122723E-05   0.252557E-03  -0.122723E-05   0.820982E-07
   136   0.390693E+04  -0.433845E+02   0.250177E-03  -0.433845E+02   0.111458E+01  -0.122929E-05   0.250177E-03  -0.122929E-05   0.816112E-07
   137   0.394144E+04  -0.437188E+02   0.247838E-03  -0.437188E+02   0.111624E+01  -0.122962E-05   0.247838E-03  -0.122962E-05   0.811282E-07
   138   0.397590E+04  -0.440345E+02   0.245538E-03  -0.440345E+02   0.111741E+01  -0.122833E-05   0.245538E-03  -0.122833E-05   0.806491E-07
   139   0.401029E+04  -0.443311E+02   0.243275E-03  -0.443311E+02   0.111809E+01  -0.122550E-05   0.243275E-03  -0.122550E-05   0.801738E-07
   140   0.404462E+04  -0.446081E+02   0.241049E-03  -0.446081E+02   0.111827E+01  -0.122124E-05   0.241049E-03  -0.122124E-05   0.797024E-07
   141   0.407887E+04  -0.448651E+02   0.238858E-03  -0.448651E+02   0.111796E+01  -0.121565E-05   0.238858E-03  -0.121565E-05   0.792348E-07
   142   0.411303E+04  -0.451018E+02   0.236700E-03  -0.451018E+02   0.111715E+01  -0.120882E-05   0.236700E-03  -0.120882E-05   0.787709E-07
   143   0.414710E+04  -0.453177E+02   0.234573E-03  -0.453177E+02   0.111586E+01  -0.120086E-05   0.234573E-03  -0.120086E-05   0.783108E-07
   144   0.418107E+04  -0.455124E+02   0.232477E-03  -0.455124E+02   0.111408E+01  -0.119187E-05   0.232477E-03  -0.119187E-05   0.778544E-07
   145   0.421492E+04  -0.456855E+02   0.230410E-03  -0.456855E+02   0.111181E+01  -0.118193E-05   0.230410E-03  -0.118193E-05   0.774017E-07
   146   0.424863E+04  -0.458367E+02   0.228370E-03  -0.458367E+02   0.110907E+01  -0.117116E-05   0.228370E-03  -0.117116E-05   0.769527E-07
   147   0.428220E+04  -0.459654E+02   0.226355E-03  -0.459654E+02   0.110586E+01  -0.115965E-05   0.226355E-03  -0.115965E-05   0.765073E-07
   148   0.431561E+04  -0.460714E+02   0.224365E-03  -0.460714E+02   0.110218E+01  -0.114749E-05   0.224365E-03  -0.114749E-05   0.760655E-07
   149   0.434885E+04  -0.461542E+02   0.222397E-03  -0.461542E+02   0.109804E+01  -0.113480E-05   0.222397E-03  -0.113480E-05   0.756273E-07
   150   0.438190E+04  -0.462134E+02   0.220451E-03  -0.462134E+02   0.109345E+01  -0.112167E-05   0.220451E-03  -0.112167E-05   0.751927E-07
   151   0.441474E+04  -0.462487E+02   0.218525E-03  -0.462487E+02   0.108842E+01  -0.110817E-05   0.218525E-03  -0.110817E-05   0.747615E-07
   152   0.444738E+04  -0.462598E+02   0.216618E-03  -0.462598E+02   0.108294E+01  -0.109436E-05   0.216618E-03  -0.109436E-05   0.743339E-07
   153   0.447981E+04  -0.462464E+02   0.214731E-03  -0.462464E+02   0.107705E+01  -0.108025E-05   0.214731E-03  -0.108025E-05   0.739098E-07
   154   0.451201E+04  -0.462083E+02   0.212863E-03  -0.462083E+02   0.107075E+01  -0.106586E-05   0.212863E-03  -0.106586E-05   0.734891E-07
   155   0.454399E+04  -0.461452E+02   0.211014E-03  -0.461452E+02   0.106404E+01  -0.105122E-05   0.211014E-03  -0.105122E-05   0.730719E-07
   156   0.457575E+04  -0.460569E+02   0.209185E-03  -0.460569E+02   0.105694E+01  -0.103634E-05   0.209185E-03  -0.103634E-05   0.726581E-07
   157   0.460727E+04  -0.459430E+02   0.207375E-03  -0.459430E+02   0.104946E+01  -0.102125E-05   0.207375E-03  -0.102125E-05   0.722476E-07
   158   0.463856E+04  -0.458035E+02   0.205583E-03  -0.458035E+02   0.104163E+01  -0.100597E-05   0.205583E-03  -0.100597E-05   0.718405E-07
   159   0.466960E+04  -0.456380E+02   0.203811E-03  -0.456380E+02   0.103343E+01  -0.990526E-06   0.203811E-03  -0.990526E-06   0.714368E-07
   160   0.470038E+04  -0.454464E+02   0.202057E-03  -0.454464E+02   0.102491E+01  -0.974936E-06   0.202057E-03  -0.974936E-06   0.710364E-07
   161   0.473087E+04  -0.452284E+02   0.200322E-03  -0.452284E+02   0.101606E+01  -0.959222E-06   0.200322E-03  -0.959222E-06   0.706393E-07
   162   0.476109E+04  -0.449839E+02   0.198605E-03  -0.449839E+02   0.100691E+01  -0.943407E-06   0.198605E-03  -0.943407E-06   0.702455E-07
   163   0.479100E+04  -0.447126E+02   0.196907E-03  -0.447126E+02   0.997491E+00  -0.927513E-06   0.196907E-03  -0.927513E-06   0.698549E-07
   164   0.482060E+04  -0.444143E+02   0.195227E-03  -0.444143E+02   0.987793E+00  -0.911562E-06   0.195227E-03  -0.911562E-06   0.694676E-07
   165   0.484987E+04  -0.440889E+02   0.193565E-03  -0.440889E+02   0.977843E+00  -0.895575E-06   0.193565E-03  -0.895575E-06   0.690834E-07
   166   0.487881E+04  -0.437363E+02   0.191921E-03  -0.437363E+02   0.967663E+00  -0.879575E-06   0.191921E-03  -0.879575E-06   0.687025E-07
   167   0.490741E+04  -0.433562E+02   0.190296E-03  -0.433562E+02   0.957275E+00  -0.863584E-06   0.190296E-03  -0.863584E-06   0.683247E-07
   168   0.493566E+04  -0.429488E+02   0.188688E-03  -0.429488E+02   0.946701E+00  -0.847624E-06   0.188688E-03  -0.847624E-06   0.679501E-07
   169   0.496355E+04  -0.425139E+02   0.187098E-03  -0.425139E+02   0.935964E+00  -0.831716E-06   0.187098E-03  -0.831716E-06   0.675785E-07
   170   0.499108E+04  -0.420514E+02   0.185525E-03  -0.420514E+02   0.925078E+00  -0.815884E-06   0.185525E-03  -0.815884E-06   0.672101E-07
   171   0.501822E+04  -0.415613E+02   0.183970E-03  -0.415613E+02   0.914073E+00  -0.800148E-06   0.183970E-03  -0.800148E-06   0.668448E-07
   172   0.504499E+04  -0.410435E+02   0.182433E-03  -0.410435E+02   0.902972E+00  -0.784531E-06   0.182433E-03  -0.784531E-06   0.664825E-07
   173   0.507136E+04  -0.404980E+02   0.180913E-03  -0.404980E+02   0.891796E+00  -0.769055E-06   0.180913E-03  -0.769055E-06   0.661232E-07
   174   0.509733E+04  -0.399247E+02   0.179410E-03  -0.399247E+02   0.880567E+00  -0.753741E-06   0.179410E-03  -0.753741E-06   0.657669E-07
   175   0.512289E+04  -0.393239E+02   0.177924E-03  -0.393239E+02   0.869324E+00  -0.738613E-06   0.177924E-03  -0.738613E-06   0.654136E-07
   176   0.514803E+04  -0.386953E+02   0.176455E-03  -0.386953E+02   0.858080E+00  -0.723685E-06   0.176455E-03  -0.723685E-06   0.650633E-07
   177   0.517274E+04  -0.380391E+02   0.175003E-03  -0.380391E+02   0.846873E+00  -0.708953E-06   0.175003E-03  -0.708953E-06   0.647159E-07
