#    L    TT             EE             BB             TE          
   313   0.363577E+04   0.114476E+02   0.309488E-01   0.119856E+03
   314   0.360197E+04   0.116339E+02   0.310815E-01   0.119699E+03
   315   0.356824E+04   0.118203E+02   0.312134E-01   0.119504E+03
   316   0.353459E+04   0.120070E+02   0.313446E-01   0.119270E+03
   317   0.350104E+04   0.121938E+02   0.314752E-01   0.118999E+03
   318   0.346759E+04   0.123806E+02   0.316050E-01   0.118690E+03
   319   0.343425E+04   0.125673E+02   0.317342E-01   0.118343E+03
   320   0.340102E+04   0.127540E+02   0.318626E-01   0.117958E+03
   321   0.336794E+04   0.129406E+02   0.319904E-01   0.117535E+03
   322   0.333498E+04   0.131269E+02   0.321176E-01   0.117075E+03
   323   0.330219E+04   0.133129E+02   0.322440E-01   0.116577E+03
   324   0.326954E+04   0.134985E+02   0.323699E-01   0.116042E+03
   325   0.323707E+04   0.136837E+02   0.324950E-01   0.115470E+03
   326   0.320477E+04   0.138684E+02   0.326196E-01   0.114861E+03
   327   0.317266E+04   0.140525E+02   0.327435E-01   0.114215E+03
   328   0.314074E+04   0.142359E+02   0.328668E-01   0.113532E+03
   329   0.310903E+04   0.144186E+02   0.329894E-01   0.112813E+03
   330   0.307753E+04   0.146005E+02   0.331115E-01   0.112059E+03
   331   0.304625E+04   0.147815E+02   0.332330E-01   0.111268E+03
   332   0.301520E+04   0.149617E+02   0.333540E-01   0.110441E+03
   333   0.298438E+04   0.151407E+02   0.334743E-01   0.109580E+03
   334   0.295381E+04   0.153188E+02   0.335942E-01   0.108683E+03
   335   0.292350E+04   0.154956E+02   0.337135E-01   0.107753E+03
   336   0.289345E+04   0.156712E+02   0.338323E-01   0.106787E+03
   337   0.286367E+04   0.158455E+02   0.339505E-01   0.105789E+03
   338   0.283416E+04   0.160185E+02   0.340683E-01   0.104758E+03
   339   0.280494E+04   0.161900E+02   0.341857E-01   0.103694E+03
   340   0.277602E+04   0.163602E+02   0.343026E-01   0.102597E+03
   341   0.274740E+04   0.165286E+02   0.344190E-01   0.101469E+03
   342   0.271908E+04   0.166955E+02   0.345350E-01   0.100308E+03
   343   0.269107E+04   0.168606E+02   0.346507E-01   0.991171E+02
   344   0.266338E+04   0.170239E+02   0.347659E-01   0.978944E+02
   345   0.263600E+04   0.171853E+02   0.348809E-01   0.966411E+02
   346   0.260895E+04   0.173447E+02   0.349954E-01   0.953570E+02
   347   0.258222E+04   0.175020E+02   0.351097E-01   0.940429E+02
   348   0.255583E+04   0.176572E+02   0.352236E-01   0.926990E+02
   349   0.252978E+04   0.178103E+02   0.353373E-01   0.913272E+02
   350   0.250408E+04   0.179611E+02   0.354507E-01   0.899271E+02
   351   0.247875E+04   0.181097E+02   0.355639E-01   0.884999E+02
   352   0.245378E+04   0.182560E+02   0.356769E-01   0.870465E+02
   353   0.242918E+04   0.184000E+02   0.357896E-01   0.855669E+02
   354   0.240496E+04   0.185416E+02   0.359022E-01   0.840633E+02
   355   0.238113E+04   0.186806E+02   0.360147E-01   0.825349E+02
   356   0.235769E+04   0.188172E+02   0.361270E-01   0.809825E+02
   357   0.233463E+04   0.189511E+02   0.362392E-01   0.794069E+02
   358   0.231197E+04   0.190824E+02   0.363513E-01   0.778087E+02
   359   0.228971E+04   0.192109E+02   0.364634E-01   0.761881E+02
   360   0.226785E+04   0.193366E+02   0.365754E-01   0.745464E+02
   361   0.224639E+04   0.194593E+02   0.366874E-01   0.728826E+02
   362   0.222534E+04   0.195792E+02   0.367994E-01   0.711986E+02
   363   0.220471E+04   0.196960E+02   0.369115E-01   0.694950E+02
   364   0.218449E+04   0.198098E+02   0.370235E-01   0.677725E+02
