#    L    TT             EE             TE             PP             TP          
   250   0.566451E+04   0.199416E+01   0.561871E+02   0.180676E+07   0.148304E+04
   251   0.564999E+04   0.206422E+01   0.578460E+02   0.179861E+07   0.147086E+04
   252   0.563493E+04   0.213636E+01   0.594994E+02   0.179053E+07   0.145876E+04
   253   0.561932E+04   0.221058E+01   0.611465E+02   0.178249E+07   0.144675E+04
   254   0.560319E+04   0.228691E+01   0.627865E+02   0.177452E+07   0.143481E+04
   255   0.558652E+04   0.236536E+01   0.644185E+02   0.176660E+07   0.142296E+04
   256   0.556932E+04   0.244596E+01   0.660419E+02   0.175874E+07   0.141119E+04
   257   0.555159E+04   0.252870E+01   0.676559E+02   0.175093E+07   0.139950E+04
   258   0.553334E+04   0.261361E+01   0.692596E+02   0.174318E+07   0.138789E+04
   259   0.551460E+04   0.270069E+01   0.708533E+02   0.173548E+07   0.137636E+04
   260   0.549537E+04   0.278997E+01   0.724348E+02   0.172784E+07   0.136491E+04
   261   0.547565E+04   0.288144E+01   0.740049E+02   0.172024E+07   0.135354E+04
   262   0.545546E+04   0.297512E+01   0.755620E+02   0.171271E+07   0.134224E+04
   263   0.543482E+04   0.307101E+01   0.771062E+02   0.170522E+07   0.133103E+04
   264   0.541372E+04   0.316914E+01   0.786358E+02   0.169778E+07   0.131989E+04
   265   0.539217E+04   0.326948E+01   0.801517E+02   0.169040E+07   0.130882E+04
   266   0.537017E+04   0.337204E+01   0.816516E+02   0.168307E+07   0.129783E+04
   267   0.534773E+04   0.347682E+01   0.831348E+02   0.167579E+07   0.128692E+04
   268   0.532486E+04   0.358383E+01   0.846019E+02   0.166856E+07   0.127608E+04
   269   0.530154E+04   0.369306E+01   0.860508E+02   0.166137E+07   0.126531E+04
   270   0.527780E+04   0.380451E+01   0.874821E+02   0.165424E+07   0.125462E+04
   271   0.525364E+04   0.391817E+01   0.888937E+02   0.164716E+07   0.124400E+04
   272   0.522906E+04   0.403405E+01   0.902862E+02   0.164012E+07   0.123346E+04
   273   0.520408E+04   0.415212E+01   0.916581E+02   0.163314E+07   0.122298E+04
   274   0.517871E+04   0.427239E+01   0.930102E+02   0.162620E+07   0.121258E+04
   275   0.515295E+04   0.439484E+01   0.943402E+02   0.161930E+07   0.120224E+04
   276   0.512681E+04   0.451947E+01   0.956489E+02   0.161246E+07   0.119198E+04
   277   0.510031E+04   0.464626E+01   0.969348E+02   0.160565E+07   0.118179E+04
   278   0.507345E+04   0.477521E+01   0.981970E+02   0.159890E+07   0.117166E+04
   279   0.504624E+04   0.490628E+01   0.994364E+02   0.159219E+07   0.116160E+04
   280   0.501869E+04   0.503947E+01   0.100651E+03   0.158552E+07   0.115161E+04
   281   0.499080E+04   0.517476E+01   0.101842E+03   0.157890E+07   0.114169E+04
   282   0.496259E+04   0.531213E+01   0.103007E+03   0.157233E+07   0.113184E+04
   283   0.493406E+04   0.545155E+01   0.104147E+03   0.156579E+07   0.112205E+04
   284   0.490523E+04   0.559302E+01   0.105260E+03   0.155930E+07   0.111232E+04
   285   0.487609E+04   0.573651E+01   0.106346E+03   0.155285E+07   0.110267E+04
   286   0.484666E+04   0.588199E+01   0.107406E+03   0.154645E+07   0.109307E+04
   287   0.481696E+04   0.602943E+01   0.108438E+03   0.154008E+07   0.108354E+04
   288   0.478699E+04   0.617882E+01   0.109441E+03   0.153376E+07   0.107407E+04
   289   0.475674E+04   0.633011E+01   0.110416E+03   0.152748E+07   0.106467E+04
   290   0.472625E+04   0.648330E+01   0.111362E+03   0.152123E+07   0.105533E+04
   291   0.469552E+04   0.663836E+01   0.112279E+03   0.151503E+07   0.104605E+04
   292   0.466454E+04   0.679517E+01   0.113166E+03   0.150887E+07   0.103683E+04
   293   0.463333E+04   0.695381E+01   0.114024E+03   0.150274E+07   0.102767E+04
   294   0.460191E+04   0.711424E+01   0.114850E+03   0.149666E+07   0.101857E+04
   295   0.457027E+04   0.727629E+01   0.115645E+03   0.149061E+07   0.100953E+04
   296   0.453843E+04   0.744008E+01   0.116409E+03   0.148460E+07   0.100055E+04
   297   0.450638E+04   0.760544E+01   0.117141E+03   0.147862E+07   0.991625E+03
   298   0.447414E+04   0.777240E+01   0.117840E+03   0.147269E+07   0.982760E+03
   299   0.444173E+04   0.794089E+01   0.118507E+03   0.146678E+07   0.973952E+03
   300   0.440914E+04   0.811085E+01   0.119142E+03   0.146092E+07   0.965200E+03
   301   0.437639E+04   0.828237E+01   0.119743E+03   0.145509E+07   0.956505E+03
   302   0.434350E+04   0.845522E+01   0.120312E+03   0.144929E+07   0.947866E+03
