#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.979932E-02   0.155633E+08   0.155526E+08  -0.122251E+04  -0.391444E+04   0.104029E+08   0.155384E+08   0.155616E+08   0.155384E+08  -0.371197E+00   0.820564E+07   0.820515E+07   0.165910E+02
   0.108203E-01   0.151191E+08   0.151066E+08  -0.159918E+04  -0.311976E+04   0.969152E+07   0.150926E+08   0.151171E+08   0.150926E+08  -0.360548E+00   0.797060E+07   0.797011E+07   0.151421E+02
   0.119477E-01   0.146415E+08   0.146270E+08  -0.135723E+04  -0.247867E+04   0.896861E+07   0.146137E+08   0.146392E+08   0.146137E+08  -0.349106E+00   0.771801E+07   0.771751E+07   0.138401E+02
   0.131926E-01   0.141296E+08   0.141128E+08  -0.975621E+03  -0.196249E+04   0.824198E+07   0.141005E+08   0.141270E+08   0.141005E+08  -0.336846E+00   0.744733E+07   0.744682E+07   0.126973E+02
   0.145672E-01   0.135825E+08   0.135630E+08  -0.962782E+03  -0.154776E+04   0.751821E+07   0.135521E+08   0.135794E+08   0.135521E+08  -0.323747E+00   0.715807E+07   0.715756E+07   0.116806E+02
   0.160850E-01   0.129996E+08   0.129771E+08  -0.875468E+03  -0.121536E+04   0.679981E+07   0.129681E+08   0.129960E+08   0.129681E+08  -0.309795E+00   0.684997E+07   0.684945E+07   0.107763E+02
   0.177609E-01   0.123809E+08   0.123552E+08  -0.533947E+03  -0.949699E+03   0.609621E+07   0.123486E+08   0.123769E+08   0.123486E+08  -0.294995E+00   0.652307E+07   0.652254E+07   0.996023E+01
   0.196115E-01   0.117276E+08   0.116983E+08  -0.505850E+03  -0.738076E+03   0.541299E+07   0.116946E+08   0.117230E+08   0.116946E+08  -0.279372E+00   0.617795E+07   0.617741E+07   0.921562E+01
   0.216549E-01   0.110422E+08   0.110091E+08  -0.355234E+03  -0.570169E+03   0.475722E+07   0.110087E+08   0.110370E+08   0.110087E+08  -0.262986E+00   0.581595E+07   0.581540E+07   0.852140E+01
   0.239112E-01   0.103291E+08   0.102923E+08  -0.299853E+03  -0.437590E+03   0.413571E+07   0.102954E+08   0.103233E+08   0.102954E+08  -0.245947E+00   0.543945E+07   0.543889E+07   0.785315E+01
   0.264026E-01   0.959559E+07   0.955526E+07  -0.234614E+03  -0.333525E+03   0.355533E+07   0.956206E+07   0.958926E+07   0.956206E+07  -0.228428E+00   0.505227E+07   0.505171E+07   0.719201E+01
   0.291535E-01   0.885212E+07   0.880882E+07  -0.149951E+03  -0.252437E+03   0.302178E+07   0.881907E+07   0.884532E+07   0.881907E+07  -0.210678E+00   0.465997E+07   0.465940E+07   0.651704E+01
   0.321911E-01   0.811282E+07   0.806749E+07  -0.159038E+03  -0.189813E+03   0.254030E+07   0.808061E+07   0.810570E+07   0.808061E+07  -0.193037E+00   0.427002E+07   0.426946E+07   0.581252E+01
   0.355452E-01   0.739516E+07   0.734918E+07  -0.944941E+02  -0.141954E+03   0.211471E+07   0.736417E+07   0.738794E+07   0.736417E+07  -0.175922E+00   0.389165E+07   0.389111E+07   0.506992E+01
   0.392488E-01   0.671868E+07   0.667384E+07  -0.705885E+02  -0.105812E+03   0.174694E+07   0.668926E+07   0.671164E+07   0.668926E+07  -0.159799E+00   0.353518E+07   0.353467E+07   0.429172E+01
   0.433382E-01   0.610217E+07   0.606052E+07  -0.788351E+02  -0.788498E+02   0.143643E+07   0.607463E+07   0.609563E+07   0.607463E+07  -0.145117E+00   0.321052E+07   0.321006E+07   0.349523E+01
   0.476720E-01   0.557706E+07   0.554038E+07  -0.584214E+02  -0.595801E+02   0.118830E+07   0.555154E+07   0.557130E+07   0.555154E+07  -0.132621E+00   0.293419E+07   0.293380E+07   0.274391E+01
   0.520059E-01   0.516341E+07   0.513250E+07  -0.454668E+02  -0.463682E+02   0.100109E+07   0.513981E+07   0.515855E+07   0.513981E+07  -0.122785E+00   0.271668E+07   0.271635E+07   0.210873E+01
   0.563397E-01   0.482703E+07   0.480189E+07  -0.362307E+02  -0.369488E+02   0.855632E+06   0.480520E+07   0.482308E+07   0.480520E+07  -0.114791E+00   0.253991E+07   0.253964E+07   0.160106E+01
   0.606735E-01   0.454184E+07   0.452174E+07  -0.294042E+02  -0.299868E+02   0.739197E+06   0.452155E+07   0.453868E+07   0.452155E+07  -0.108015E+00   0.239005E+07   0.238983E+07   0.122193E+01
   0.650073E-01   0.428824E+07   0.427198E+07  -0.241914E+02  -0.246707E+02   0.643274E+06   0.426927E+07   0.428569E+07   0.426927E+07  -0.101988E+00   0.225675E+07   0.225657E+07   0.961625E+00
