#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.979664E-02   0.127295E+08   0.127190E+08   0.571041E+04   0.484473E+04   0.813992E+07   0.127072E+08   0.127279E+08   0.127072E+08  -0.418916E+00   0.913298E+07   0.913225E+07   0.223417E+02
   0.108173E-01   0.123665E+08   0.123542E+08   0.470297E+04   0.385841E+04   0.755423E+07   0.123429E+08   0.123646E+08   0.123429E+08  -0.406907E+00   0.887160E+07   0.887086E+07   0.204092E+02
   0.119444E-01   0.119763E+08   0.119620E+08   0.382127E+04   0.306320E+04   0.696156E+07   0.119515E+08   0.119741E+08   0.119515E+08  -0.394002E+00   0.859068E+07   0.858993E+07   0.186724E+02
   0.131889E-01   0.115580E+08   0.115414E+08   0.335243E+04   0.242335E+04   0.636942E+07   0.115321E+08   0.115554E+08   0.115321E+08  -0.380175E+00   0.828964E+07   0.828888E+07   0.171495E+02
   0.145630E-01   0.111109E+08   0.110917E+08   0.229193E+04   0.190963E+04   0.578332E+07   0.110839E+08   0.111079E+08   0.110839E+08  -0.365400E+00   0.796791E+07   0.796714E+07   0.157948E+02
   0.160803E-01   0.106345E+08   0.106123E+08   0.174269E+04   0.149821E+04   0.520518E+07   0.106066E+08   0.106310E+08   0.106066E+08  -0.349664E+00   0.762521E+07   0.762442E+07   0.145904E+02
   0.177557E-01   0.101289E+08   0.101033E+08   0.149703E+04   0.116968E+04   0.464313E+07   0.101002E+08   0.101249E+08   0.101002E+08  -0.332970E+00   0.726158E+07   0.726077E+07   0.135031E+02
   0.196056E-01   0.959490E+07   0.956580E+07   0.100803E+04   0.908204E+03   0.410165E+07   0.956559E+07   0.959033E+07   0.956559E+07  -0.315347E+00   0.687765E+07   0.687683E+07   0.125102E+02
   0.216483E-01   0.903461E+07   0.900177E+07   0.834239E+03   0.700944E+03   0.358583E+07   0.900491E+07   0.902945E+07   0.900491E+07  -0.296863E+00   0.647491E+07   0.647407E+07   0.115831E+02
   0.239038E-01   0.845167E+07   0.841509E+07   0.742206E+03   0.537454E+03   0.310063E+07   0.842183E+07   0.844592E+07   0.842183E+07  -0.277641E+00   0.605602E+07   0.605516E+07   0.106883E+02
   0.263943E-01   0.785196E+07   0.781187E+07   0.452404E+03   0.409260E+03   0.265082E+07   0.782225E+07   0.784567E+07   0.782225E+07  -0.257874E+00   0.562521E+07   0.562434E+07   0.980014E+01
   0.291443E-01   0.724405E+07   0.720099E+07   0.362847E+03   0.309474E+03   0.224023E+07   0.721476E+07   0.723729E+07   0.721476E+07  -0.237847E+00   0.518865E+07   0.518778E+07   0.888984E+01
   0.321808E-01   0.663946E+07   0.659436E+07   0.287154E+03   0.232489E+03   0.187236E+07   0.661092E+07   0.663237E+07   0.661092E+07  -0.217941E+00   0.475465E+07   0.475380E+07   0.793596E+01
   0.355337E-01   0.605245E+07   0.600669E+07   0.211614E+03   0.173717E+03   0.154944E+07   0.602500E+07   0.604527E+07   0.602500E+07  -0.198625E+00   0.433350E+07   0.433267E+07   0.692685E+01
   0.392359E-01   0.549901E+07   0.545437E+07   0.141629E+03   0.129379E+03   0.127223E+07   0.547298E+07   0.549200E+07   0.547298E+07  -0.180426E+00   0.393666E+07   0.393589E+07   0.586608E+01
   0.433238E-01   0.499450E+07   0.495302E+07   0.112881E+03   0.963331E+02   0.103967E+07   0.497019E+07   0.498799E+07   0.497019E+07  -0.163851E+00   0.357519E+07   0.357449E+07   0.477765E+01
   0.476562E-01   0.456466E+07   0.452811E+07   0.749292E+02   0.727367E+02   0.854910E+06   0.454222E+07   0.455892E+07   0.454222E+07  -0.149742E+00   0.326748E+07   0.326688E+07   0.374903E+01
   0.519886E-01   0.422597E+07   0.419517E+07   0.582773E+02   0.565715E+02   0.716236E+06   0.420533E+07   0.422113E+07   0.420533E+07  -0.138636E+00   0.302525E+07   0.302474E+07   0.287833E+01
   0.563210E-01   0.395053E+07   0.392547E+07   0.464139E+02   0.450551E+02   0.609037E+06   0.393155E+07   0.394660E+07   0.393155E+07  -0.129611E+00   0.282838E+07   0.282797E+07   0.218201E+01
   0.606533E-01   0.371704E+07   0.369701E+07   0.376514E+02   0.365488E+02   0.523663E+06   0.369951E+07   0.371389E+07   0.369951E+07  -0.121961E+00   0.266152E+07   0.266118E+07   0.166201E+01
   0.649857E-01   0.350948E+07   0.349328E+07   0.309642E+02   0.300573E+02   0.453699E+06   0.349318E+07   0.350694E+07   0.349318E+07  -0.115159E+00   0.251314E+07   0.251285E+07   0.130529E+01
   0.693181E-01   0.331461E+07   0.330083E+07   0.257003E+02   0.249474E+02   0.394694E+06   0.329929E+07   0.331244E+07   0.329929E+07  -0.108767E+00   0.237370E+07   0.237345E+07   0.108643E+01
   0.736505E-01   0.312257E+07   0.310983E+07   0.214431E+02   0.208148E+02   0.343660E+06   0.310806E+07   0.312057E+07   0.310806E+07  -0.102463E+00   0.223616E+07   0.223592E+07   0.972267E+00
   0.779829E-01   0.293035E+07   0.291751E+07   0.179454E+02   0.174195E+02   0.299012E+06   0.291648E+07   0.292833E+07   0.291648E+07  -0.961469E-01   0.209837E+07   0.209813E+07   0.927554E+00
   0.823153E-01   0.274039E+07   0.272671E+07   0.150582E+02   0.146169E+02   0.260011E+06   0.272707E+07   0.273824E+07   0.272707E+07  -0.899027E-01   0.196213E+07   0.196188E+07   0.919377E+00
   0.866476E-01   0.255790E+07   0.254308E+07   0.126816E+02   0.123098E+02   0.226279E+06   0.254507E+07   0.255557E+07   0.254507E+07  -0.839029E-01   0.183121E+07   0.183095E+07   0.920481E+00
   0.909800E-01   0.238794E+07   0.237207E+07   0.107354E+02   0.104207E+02   0.197448E+06   0.237559E+07   0.238545E+07   0.237559E+07  -0.783153E-01   0.170929E+07   0.170901E+07   0.911312E+00
   0.963688E-01   0.219991E+07   0.218336E+07   0.881237E+01   0.855401E+01   0.167793E+06   0.218816E+07   0.219731E+07   0.218816E+07  -0.721365E-01   0.157446E+07   0.157418E+07   0.869631E+00
