#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   108   0.295112E+04  -0.284390E+02   0.334556E-03  -0.284390E+02   0.886416E+00  -0.942438E-06   0.334556E-03  -0.942438E-06   0.964078E-07
   109   0.298389E+04  -0.290904E+02   0.330887E-03  -0.290904E+02   0.899513E+00  -0.927018E-06   0.330887E-03  -0.927018E-06   0.958047E-07
   110   0.301683E+04  -0.297379E+02   0.327268E-03  -0.297379E+02   0.912336E+00  -0.915531E-06   0.327268E-03  -0.915531E-06   0.952056E-07
   111   0.304992E+04  -0.303811E+02   0.323696E-03  -0.303811E+02   0.924879E+00  -0.908482E-06   0.323696E-03  -0.908482E-06   0.946107E-07
   112   0.308316E+04  -0.310192E+02   0.320170E-03  -0.310192E+02   0.937135E+00  -0.905692E-06   0.320170E-03  -0.905692E-06   0.940199E-07
   113   0.311655E+04  -0.316518E+02   0.316690E-03  -0.316518E+02   0.949080E+00  -0.906816E-06   0.316690E-03  -0.906816E-06   0.934332E-07
   114   0.315008E+04  -0.322782E+02   0.313257E-03  -0.322782E+02   0.960699E+00  -0.911504E-06   0.313257E-03  -0.911504E-06   0.928506E-07
   115   0.318373E+04  -0.328980E+02   0.309871E-03  -0.328980E+02   0.971993E+00  -0.919409E-06   0.309871E-03  -0.919409E-06   0.922722E-07
   116   0.321751E+04  -0.335105E+02   0.306532E-03  -0.335105E+02   0.982946E+00  -0.930183E-06   0.306532E-03  -0.930183E-06   0.916978E-07
   117   0.325141E+04  -0.341151E+02   0.303240E-03  -0.341151E+02   0.993536E+00  -0.943479E-06   0.303240E-03  -0.943479E-06   0.911276E-07
   118   0.328542E+04  -0.347113E+02   0.299995E-03  -0.347113E+02   0.100376E+01  -0.958948E-06   0.299995E-03  -0.958948E-06   0.905615E-07
   119   0.331953E+04  -0.352986E+02   0.296798E-03  -0.352986E+02   0.101361E+01  -0.976244E-06   0.296798E-03  -0.976244E-06   0.899995E-07
   120   0.335374E+04  -0.358764E+02   0.293649E-03  -0.358764E+02   0.102307E+01  -0.995019E-06   0.293649E-03  -0.995019E-06   0.894417E-07
