#    L    TT             EE             BB             TE          
   364   0.218456E+04   0.198085E+02   0.393501E-01   0.677573E+02
   365   0.216477E+04   0.199192E+02   0.394725E-01   0.660169E+02
   366   0.214539E+04   0.200267E+02   0.395950E-01   0.642591E+02
   367   0.212644E+04   0.201310E+02   0.397177E-01   0.624848E+02
   368   0.210792E+04   0.202320E+02   0.398405E-01   0.606946E+02
   369   0.208982E+04   0.203298E+02   0.399634E-01   0.588895E+02
   370   0.207217E+04   0.204242E+02   0.400866E-01   0.570699E+02
   371   0.205494E+04   0.205154E+02   0.402099E-01   0.552369E+02
   372   0.203815E+04   0.206030E+02   0.403335E-01   0.533911E+02
   373   0.202180E+04   0.206872E+02   0.404573E-01   0.515333E+02
   374   0.200588E+04   0.207680E+02   0.405814E-01   0.496644E+02
   375   0.199040E+04   0.208452E+02   0.407058E-01   0.477848E+02
   376   0.197536E+04   0.209189E+02   0.408305E-01   0.458955E+02
   377   0.196077E+04   0.209889E+02   0.409555E-01   0.439972E+02
   378   0.194661E+04   0.210553E+02   0.410809E-01   0.420906E+02
   379   0.193290E+04   0.211179E+02   0.412066E-01   0.401764E+02
   380   0.191964E+04   0.211768E+02   0.413327E-01   0.382555E+02
   381   0.190682E+04   0.212319E+02   0.414592E-01   0.363286E+02
   382   0.189444E+04   0.212831E+02   0.415861E-01   0.343963E+02
   383   0.188251E+04   0.213306E+02   0.417135E-01   0.324595E+02
   384   0.187103E+04   0.213741E+02   0.418413E-01   0.305191E+02
   385   0.185998E+04   0.214138E+02   0.419696E-01   0.285759E+02
   386   0.184938E+04   0.214497E+02   0.420984E-01   0.266308E+02
   387   0.183923E+04   0.214817E+02   0.422276E-01   0.246845E+02
   388   0.182951E+04   0.215098E+02   0.423575E-01   0.227379E+02
   389   0.182023E+04   0.215342E+02   0.424878E-01   0.207918E+02
   390   0.181138E+04   0.215546E+02   0.426187E-01   0.188470E+02
   391   0.180298E+04   0.215711E+02   0.427502E-01   0.169044E+02
   392   0.179501E+04   0.215838E+02   0.428823E-01   0.149646E+02
   393   0.178747E+04   0.215925E+02   0.430150E-01   0.130286E+02
   394   0.178036E+04   0.215973E+02   0.431484E-01   0.110970E+02
